128;4;5.214;767.204
128;4;3.831;1044.073
144;6;3.319;1807.630
144;6;3.319;1807.630
160;8;4.695;1703.790
160;8;5.835;1370.968
176;10;6.176;1619.047
176;10;5.297;1887.880
192;14;6.009;2329.707
192;14;6.436;2175.147
208;18;9.158;1965.415
208;18;7.486;2404.378
224;22;9.996;2200.947
224;22;9.781;2249.231
240;27;13.070;2065.745
240;27;12.164;2219.600
256;33;19.721;1673.320
256;33;23.440;1407.828
272;40;19.505;2050.729
272;40;17.962;2226.956
288;47;21.941;2142.114
288;47;23.065;2037.733
304;56;26.356;2124.793
304;56;24.953;2244.186
320;65;28.961;2244.402
320;65;31.054;2093.143
336;76;33.634;2259.590
336;76;33.914;2240.972
352;87;40.803;2132.174
352;87;41.058;2118.938
368;99;47.312;2092.502
368;99;44.323;2233.593
384;113;57.451;1966.885
384;113;59.232;1907.760
400;128;59.299;2158.553
400;128;58.290;2195.908
416;144;67.182;2143.422
416;144;68.301;2108.323
432;161;73.578;2188.158
432;161;73.216;2198.981
448;180;86.649;2077.342
448;180;84.538;2129.214
464;200;91.200;2192.985
464;200;91.083;2195.810
480;221;102.099;2164.567
480;221;100.498;2199.055
496;244;109.737;2223.495
496;244;108.407;2250.787
512;268;200.947;1333.686
512;268;200.693;1335.374
528;294;132.043;2226.545
528;294;132.350;2221.387
544;322;149.340;2156.158
544;322;148.788;2164.153
560;351;158.636;2212.618
560;351;160.650;2184.877
576;382;184.049;2075.535
576;382;181.322;2106.754
592;415;193.711;2142.372
592;415;191.666;2165.229
608;450;207.847;2165.053
608;450;208.867;2154.480
624;486;225.241;2157.689
624;486;225.716;2153.147
640;525;348.084;1508.258
640;525;357.033;1470.452
656;565;261.804;2158.100
656;565;262.159;2155.180
672;607;279.730;2169.951
672;607;281.583;2155.668
688;652;302.421;2155.936
688;652;299.295;2178.455
704;698;343.158;2034.046
704;698;344.399;2026.721
720;747;348.291;2144.760
720;747;345.029;2165.035
736;798;367.134;2173.596
736;798;366.921;2174.857
752;851;411.790;2066.585
752;851;416.007;2045.641
768;907;716.872;1265.219
768;907;711.286;1275.156
784;965;488.815;1974.161
784;965;476.049;2027.102
800;1025;508.991;2013.789
800;1025;536.029;1912.211
816;1088;509.765;2134.317
816;1088;535.661;2031.134
832;1153;673.591;1711.721
832;1153;672.915;1713.440
848;1221;584.267;2089.797
848;1221;614.463;1987.102
864;1291;643.596;2005.916
864;1291;653.578;1975.280
880;1364;687.515;1983.957
880;1364;705.223;1934.141
896;1440;1187.616;1212.513
896;1440;1146.796;1255.673
912;1518;971.355;1562.765
912;1518;762.333;1991.255
928;1600;859.218;1862.159
928;1600;912.158;1754.082
944;1684;906.304;1858.096
944;1684;860.526;1956.943
960;1771;1350.940;1310.939
960;1771;1321.588;1340.055
976;1861;979.484;1899.981
976;1861;1045.255;1780.426
992;1954;1148.333;1701.597
992;1954;1187.861;1644.973
1008;2050;1175.306;1744.226
1008;2050;1311.021;1563.667
1024;2149;5292.330;406.059
1024;2149;6526.885;329.254
