256;33;96.841;340.764;2.459;0.031;0.025;0.023
256;33;92.382;357.212;3.108;0.031;0.026;0.024
256;33;91.428;360.940;2.458;0.025;0.025;0.023
272;40;95.477;418.951;3.712;0.029;0.028;0.027
272;40;91.317;438.036;3.102;0.028;0.028;0.026
272;40;93.934;425.831;3.173;0.033;0.028;0.027
288;47;92.718;506.915;4.109;0.037;0.031;0.028
288;47;93.618;502.041;4.107;0.037;0.031;0.028
288;47;93.283;503.842;4.483;0.031;0.030;0.030
304;56;94.956;589.749;4.497;0.041;0.034;0.031
304;56;94.882;590.208;4.790;0.039;0.034;0.048
304;56;92.507;605.359;4.425;0.040;0.034;0.031
320;65;94.709;686.312;5.073;0.037;0.037;0.034
320;65;95.561;680.192;5.093;0.043;0.037;0.039
320;65;94.894;684.974;5.023;0.037;0.037;0.034
336;76;95.526;795.597;6.034;0.046;0.041;0.038
336;76;96.606;786.704;7.690;0.047;0.040;0.039
336;76;96.691;786.008;6.118;0.041;0.040;0.038
352;87;98.819;880.399;7.259;0.051;0.052;0.041
352;87;98.278;885.241;7.309;0.051;0.044;0.041
352;87;96.819;898.585;8.841;0.050;0.044;0.042
368;99;99.136;998.625;8.316;0.049;0.048;0.045
368;99;99.528;994.694;8.204;0.047;0.049;0.045
368;99;99.587;994.106;8.202;0.054;0.049;0.045
384;113;100.620;1123.042;9.110;0.058;0.052;0.050
384;113;101.024;1118.544;8.667;0.053;0.052;0.049
384;113;99.550;1135.113;8.785;0.053;0.052;0.049
400;128;103.063;1241.958;10.974;0.056;0.056;0.054
400;128;102.196;1252.493;11.762;0.057;0.057;0.054
400;128;100.724;1270.803;10.525;0.061;0.056;0.053
416;144;103.107;1396.608;11.965;0.060;0.060;0.057
416;144;104.339;1380.118;12.832;0.060;0.065;0.057
416;144;103.796;1387.330;12.526;0.067;0.060;0.064
432;161;104.082;1546.863;13.657;0.065;0.065;0.061
432;161;104.873;1535.191;14.184;0.071;0.065;0.062
432;161;105.557;1525.246;15.487;0.064;0.065;0.062
448;180;105.542;1705.475;16.683;0.075;0.069;0.067
448;180;106.098;1696.550;15.204;0.076;0.069;0.066
448;180;106.236;1694.337;16.475;0.075;0.069;0.067
464;200;106.121;1884.648;17.208;0.082;0.080;0.071
464;200;108.438;1844.368;18.563;0.080;0.074;0.083
464;200;107.392;1862.339;18.918;0.085;0.074;0.071
480;221;109.887;2011.155;19.445;0.085;0.079;0.076
480;221;109.552;2017.304;19.355;0.086;0.078;0.075
480;221;109.588;2016.646;18.714;0.085;0.079;0.083
496;244;112.933;2160.570;21.807;0.086;0.085;0.081
496;244;112.234;2174.022;22.633;0.084;0.084;0.081
496;244;111.888;2180.754;21.637;0.095;0.084;0.081
512;268;118.139;2268.509;27.663;0.090;0.089;0.086
512;268;117.736;2276.286;28.261;0.089;0.089;0.086
512;268;117.710;2276.775;28.206;0.089;0.089;0.086
528;294;115.659;2541.955;25.167;0.109;0.101;0.100
528;294;115.082;2554.694;26.424;0.133;0.101;0.103
528;294;116.804;2517.034;25.359;0.104;0.104;0.101
544;322;118.725;2712.154;28.605;0.113;0.110;0.107
544;322;120.579;2670.443;28.267;0.112;0.110;0.106
544;322;118.641;2714.062;27.202;0.113;0.114;0.106
560;351;126.588;2772.767;32.581;0.125;0.125;0.113
560;351;124.921;2809.785;32.168;0.123;0.123;0.111
560;351;125.769;2790.838;32.007;0.124;0.119;0.112
576;382;128.073;2982.686;36.165;0.134;0.131;0.118
576;382;129.831;2942.296;37.612;0.134;0.128;0.117
576;382;130.630;2924.284;37.772;0.139;0.133;0.117
592;415;130.527;3179.424;38.229;0.139;0.149;0.125
592;415;131.744;3150.056;37.792;0.143;0.139;0.125
592;415;131.762;3149.629;38.775;0.165;0.146;0.123
608;450;134.620;3342.732;40.268;0.128;0.153;0.130
608;450;133.668;3366.539;40.268;0.129;0.151;0.130
608;450;134.787;3338.599;41.773;0.158;0.128;0.129
624;486;137.550;3533.264;45.881;0.175;0.165;0.135
624;486;138.907;3498.739;46.059;0.166;0.164;0.135
624;486;137.588;3532.284;45.560;0.172;0.169;0.136
640;525;141.061;3721.786;48.578;0.189;0.175;0.141
640;525;140.922;3725.463;48.542;0.189;0.179;0.142
640;525;142.255;3690.566;49.188;0.198;0.183;0.142
656;565;146.234;3863.663;53.948;0.215;0.201;0.149
656;565;148.429;3806.524;54.355;0.214;0.191;0.148
656;565;149.186;3787.227;54.624;0.212;0.194;0.149
672;607;169.953;3571.583;57.925;0.234;0.208;0.155
672;607;171.052;3548.634;57.711;0.237;0.213;0.155
672;607;168.194;3608.932;58.066;0.240;0.209;0.157
688;652;172.011;3790.463;62.237;0.267;0.230;0.163
688;652;173.325;3761.713;62.053;0.264;0.260;0.162
688;652;173.533;3757.201;62.148;0.265;0.230;0.162
704;698;176.068;3964.376;66.908;0.270;0.242;0.176
704;698;177.915;3923.214;67.399;0.292;0.250;0.170
704;698;179.256;3893.863;66.715;0.290;0.247;0.170
720;747;184.447;4049.953;72.458;0.298;0.266;0.178
720;747;185.278;4031.770;73.961;0.307;0.271;0.177
720;747;185.815;4020.136;73.156;0.308;0.281;0.177
736;798;192.819;4138.594;79.413;0.321;0.286;0.697
736;798;192.564;4144.071;79.662;0.320;0.278;0.624
736;798;192.589;4143.533;80.061;0.309;0.282;0.626
752;851;200.005;4254.903;85.247;0.343;0.297;1.091
752;851;195.342;4356.466;84.828;0.341;0.302;0.642
752;851;187.921;4528.498;85.270;0.330;0.291;0.587
768;907;190.947;4750.014;87.307;0.354;0.312;0.610
